,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,sentiment
783,1420015877836185602,1420015877836185602,2021-07-27 19:09:02 India Standard Time,2021-07-27,19:09:02,530,33316262,chalddok,Sujin,,"These days, my @Fidomobile internet selectively fails on me when I have work meetings. I swear I'm not being antisocial with my video off - the internet gods have just not favoured me.   #InternetFailure #WFH",en,"[{'screen_name': 'fidomobile', 'name': 'fido', 'id': '24189291'}]",[],[],1,0,1,"['internetfailure', 'wfh']",[],https://twitter.com/chalddok/status/1420015877836185602,False,,0,,,,,,,,[],,,,,Negative
784,1420015491792478219,1420015491792478219,2021-07-27 19:07:30 India Standard Time,2021-07-27,19:07:30,530,5833062,drakeguan,Drake Guan,,"I heard that one impact of COVID-19 is to increase the imagination and practice of digital nomad. You may or may not jump into a nomad life, but you can still catch the idea by working from home.  https://t.co/98HzeocPNI #WFH  https://t.co/Csp4iK8HIq",en,[],['https://www.pexels.com/photo/white-notebook-beside-blue-laptop-computer-1212818'],['https://pbs.twimg.com/media/E7TojplWYBA5PuF.jpg'],0,0,1,['wfh'],[],https://twitter.com/drakeguan/status/1420015491792478219,False,,1,https://pbs.twimg.com/media/E7TojplWYBA5PuF.jpg,,,,,,,[],,,,,Neutral
785,1420015343100207114,1420015343100207114,2021-07-27 19:06:55 India Standard Time,2021-07-27,19:06:55,530,2719260213,tiffler26,Tiffany Romines,,A move #BackToTheOffice and away from the COVID-19 pandemic trend of #WFH is driving new apartment demand as employees look to move closer to job centres.  Get more #multifamily insights when you become a @CoStarCanada subscriber  https://t.co/yTDz0q5s1d,en,"[{'screen_name': 'costarcanada', 'name': 'costar canada', 'id': '756188762615545856'}]",['https://sprou.tt/1e6wdhBosyX'],[],0,0,0,"['backtotheoffice', 'wfh', 'multifamily']",[],https://twitter.com/tiffler26/status/1420015343100207114,False,,0,,,,,,,,[],,,,,Positive
786,1420014971321266187,1419930960204865536,2021-07-27 19:05:26 India Standard Time,2021-07-27,19:05:26,530,805755626546675713,siya_is_youngin,𝕁𝕦𝕞𝕡 𝕆𝕦𝕥 𝔹𝕠𝕪,,@Afrihost @GiveawayGoat I need this Laptop stand because everytime I'm busy my laptop overheats and this will definitely help with that #WFH @Afrihost  https://t.co/sewaJY9ycD,en,"[{'screen_name': 'afrihost', 'name': 'afrihost', 'id': '55520972'}]",[],['https://pbs.twimg.com/media/E7ToFSKWEAIDXvl.jpg'],0,0,1,['wfh'],[],https://twitter.com/Siya_Is_Youngin/status/1420014971321266187,False,,1,https://pbs.twimg.com/media/E7ToFSKWEAIDXvl.jpg,,,,,,,"[{'screen_name': 'Afrihost', 'name': 'Afrihost', 'id': '55520972'}, {'screen_name': 'GiveawayGoat', 'name': 'The GiveAway Goat 🐐', 'id': '1005815693663723521'}]",,,,,Positive
787,1420014970696310789,1420014970696310789,2021-07-27 19:05:26 India Standard Time,2021-07-27,19:05:26,530,48980098,cristinaampil,Cʀɪsᴛɪɴᴀ Aᴍᴘɪʟ,,Work-from-anywhere policies make the #talent market a national market. Interesting development to watch in especially tight labor markets like #cyber #wfa #wfh #remotework  https://t.co/tRVeChgrEz,en,[],['https://www.wsj.com/articles/work-from-anywhere-perks-give-silicon-valley-a-new-edge-in-talent-war-11627387270?st=qafidqueirv7dqz&reflink=article_copyURL_share'],[],0,0,0,"['talent', 'cyber', 'wfa', 'wfh', 'remotework']",[],https://twitter.com/CristinaAmpil/status/1420014970696310789,False,,0,,,,,,,,[],,,,,Positive
788,1420014874885828616,1420014874885828616,2021-07-27 19:05:03 India Standard Time,2021-07-27,19:05:03,530,45840503,cityam,City A.M.,,"Exclusive: IWG founder and office veteran Mark Dixon on why hybrid working is the new normal  Dixon has full confidence in the future of London’s offices, as he sits down with City A.M. --&gt;  https://t.co/ZTPPKBRGUW #Office #WFH #IWG #ReturnToWork #hybridworking #WorkFromHome  https://t.co/208zJWTEt7",en,[],['https://buff.ly/3l5hz2P'],"['https://pbs.twimg.com/media/E7ToAG2XoAkQDHu.jpg', 'https://pbs.twimg.com/media/E7ToAG1WUAs5fib.jpg', 'https://pbs.twimg.com/media/E7ToAG8XsAcGF-8.jpg']",1,1,2,"['office', 'wfh', 'iwg', 'returntowork', 'hybridworking', 'workfromhome']",[],https://twitter.com/CityAM/status/1420014874885828616,False,,1,https://pbs.twimg.com/media/E7ToAG2XoAkQDHu.jpg,,,,,,,[],,,,,Positive
789,1420014840949641232,1419930960204865536,2021-07-27 19:04:55 India Standard Time,2021-07-27,19:04:55,530,746031343,judypadayachee,Judy Padayachee,,@Afrihost #WFH  Its definitely missing a comfortable office chair.  https://t.co/RQOKugRqAp,en,[],[],['https://pbs.twimg.com/media/E7Tn-LYWYAEKFn7.jpg'],0,0,0,['wfh'],[],https://twitter.com/judypadayachee/status/1420014840949641232,False,,1,https://pbs.twimg.com/media/E7Tn-LYWYAEKFn7.jpg,,,,,,,"[{'screen_name': 'Afrihost', 'name': 'Afrihost', 'id': '55520972'}]",,,,,Positive
790,1420014231576055816,1419930960204865536,2021-07-27 19:02:30 India Standard Time,2021-07-27,19:02:30,530,1035486742902702081,trevor91006414,Trevor,,"@Afrihost Ergonomic office chair, this would be absolutely perfect. Comfort for those long hours. 🙏🙏🙏#WFH",en,[],[],[],1,0,0,['wfh'],[],https://twitter.com/Trevor91006414/status/1420014231576055816,False,,0,,,,,,,,"[{'screen_name': 'Afrihost', 'name': 'Afrihost', 'id': '55520972'}]",,,,,Positive
792,1420013666435584002,1420013666435584002,2021-07-27 19:00:15 India Standard Time,2021-07-27,19:00:15,530,33675955,sharperecruit,Sharpe Recruitment,,Digital Account / Project Manager #Newcastle Remote working due to Covid then  flexible home /office  £33K - £38K #WFH #Recruitment   https://t.co/aUgDFstf1m  https://t.co/xrAKqgOIj6,en,[],['https://www.sharperecruitment.co.uk/job/JS32/Digital-Account-Project-Manager'],['https://pbs.twimg.com/media/E7Tm5wdWUAoKD65.jpg'],0,0,0,"['newcastle', 'wfh', 'recruitment']",[],https://twitter.com/sharperecruit/status/1420013666435584002,False,,1,https://pbs.twimg.com/media/E7Tm5wdWUAoKD65.jpg,,,,,,,[],,,,,Negative
793,1420013626761547778,1420013626761547778,2021-07-27 19:00:05 India Standard Time,2021-07-27,19:00:05,530,963743374384730113,lcvaservices,LC Virtual Assistant Services,,"Happy #toptiptuesday 🌟   Today we will be bringing some top tips on how to work effectively from home #WFHclub AND how to achieve the perfect work-life balance 🙌🏻   To check them out, head over to our Instagram @/lcvaservices  #WFH #workfromhome #businesstips  https://t.co/M0n3mCTlKs",en,[],[],['https://pbs.twimg.com/media/E7Tm3jMX0AwTkHN.jpg'],0,0,1,"['toptiptuesday', 'wfhclub', 'wfh', 'workfromhome', 'businesstips']",[],https://twitter.com/LCVAServices/status/1420013626761547778,False,,1,https://pbs.twimg.com/media/E7Tm3jMX0AwTkHN.jpg,,,,,,,[],,,,,Positive
794,1420013616175194127,1420013616175194127,2021-07-27 19:00:03 India Standard Time,2021-07-27,19:00:03,530,1247522742842224650,ethrworld,ET HRWorld,,"Before the pandemic emptied offices and turned dining tables into desks, getting a midday haircut or heading out for 5 p.m. therapy could involve a bit of clandestine choreography.  #wellbeing #wfh #office #workforce #employeeexperience #covid19   https://t.co/x9MLm7jZ9L",en,[],['https://hr.economictimes.indiatimes.com/news/trends/employee-experience/the-case-for-me-time-on-company-time-can-blocking-calendars-for-personal-errands-in-wfh-be-normalised/84792461'],[],0,0,0,"['wellbeing', 'wfh', 'office', 'workforce', 'employeeexperience', 'covid19']",[],https://twitter.com/ETHrWorld/status/1420013616175194127,False,,0,,,,,,,,[],,,,,Neutral
795,1420013612203134988,1420013612203134988,2021-07-27 19:00:02 India Standard Time,2021-07-27,19:00:02,530,14756361,corneroffice,Corner Office Consultants,,"You see - as a #Workday leader, you just can’t succeed if you don’t know how your people are wired. And this is especially important in remote settings.  #Leadership #WFH #Employees  https://t.co/DYTNlrzhQf",en,[],['https://www.forbes.com/sites/forbeshumanresourcescouncil/2021/07/22/the-missing-piece-for-remote-work-success-understanding-your-people/?sh=6ba701193639'],[],0,0,1,"['workday', 'leadership', 'wfh', 'employees']",[],https://twitter.com/corneroffice/status/1420013612203134988,False,,0,,,,,,,,[],,,,,Positive
796,1420013208434266114,1419930960204865536,2021-07-27 18:58:26 India Standard Time,2021-07-27,18:58:26,530,1347550427655663622,starsm1006,star🌟🌟🌟,,@Afrihost #WFH I so need a laptop stand @honeypot108 @Anzy50 ❣️  https://t.co/F9nlRZ8d56,en,"[{'screen_name': 'honeypot108', 'name': 'honeypot108', 'id': '1284547736294088707'}, {'screen_name': 'anzy50', 'name': 'anz', 'id': '932425201'}]",[],['https://pbs.twimg.com/media/E7Tme5EXEAkSX1c.jpg'],0,0,1,['wfh'],[],https://twitter.com/starsm1006/status/1420013208434266114,False,,1,https://pbs.twimg.com/media/E7Tme5EXEAkSX1c.jpg,,,,,,,"[{'screen_name': 'Afrihost', 'name': 'Afrihost', 'id': '55520972'}]",,,,,Neutral
797,1420013107829747712,1420013107829747712,2021-07-27 18:58:02 India Standard Time,2021-07-27,18:58:02,530,2546330804,pm_results,Gren Gale at PM Results,,Remote Project Management is the future of collaborative teamwork. Are you ready for it?  Read The Remote Project Manager  https://t.co/JqG2AKYd2D #pmot #staysafe #remoteworking #projectmanagement #covid #wfh #digitalnomad #homeoffice #freelancer #business  https://t.co/TbFPd9JWKz,en,[],['http://www.pmresults.co.uk/the-remote-project-manager/'],['https://pbs.twimg.com/media/E7TmZUcXEAkeTP_.jpg'],0,1,1,"['pmot', 'staysafe', 'remoteworking', 'projectmanagement', 'covid', 'wfh', 'digitalnomad', 'homeoffice', 'freelancer', 'business']",[],https://twitter.com/PM_Results/status/1420013107829747712,False,,1,https://pbs.twimg.com/media/E7TmZUcXEAkeTP_.jpg,,,,,,,[],,,,,Neutral
798,1420013007879475206,1419930960204865536,2021-07-27 18:57:38 India Standard Time,2021-07-27,18:57:38,530,1350134480049205250,jumpoutboy_,Thembalethu Ndlovu,,@Afrihost @GiveawayGoat Definitely need this Adjustable Standing Desk because I experience a lot of back pains so this might help 😌 #WFH @Afrihost  https://t.co/NubvzkdGAK,en,"[{'screen_name': 'afrihost', 'name': 'afrihost', 'id': '55520972'}]",[],['https://pbs.twimg.com/media/E7TmTIKWEAoDc5G.jpg'],0,0,1,['wfh'],[],https://twitter.com/jumpoutboy_/status/1420013007879475206,False,,1,https://pbs.twimg.com/media/E7TmTIKWEAoDc5G.jpg,,,,,,,"[{'screen_name': 'Afrihost', 'name': 'Afrihost', 'id': '55520972'}, {'screen_name': 'GiveawayGoat', 'name': 'The GiveAway Goat 🐐', 'id': '1005815693663723521'}]",,,,,Neutral
799,1420012994113716238,1420012994113716238,2021-07-27 18:57:35 India Standard Time,2021-07-27,18:57:35,530,1187089698,jjvlebon,Jeroen J.V Lebon #UEMFirst :wq,,"#WFH At Box employees can get  an individual WFH allowance of up to $7,000 a year.   https://t.co/RM2kKcG4G7",en,[],['https://www.businessinsider.com/hot-new-perks-for-wfh-remote-hybrid-employees-work?international=true&r=US&IR=T'],[],0,0,1,['wfh'],[],https://twitter.com/JJVLebon/status/1420012994113716238,False,,0,,,,,,,,[],,,,,Neutral
800,1420012860860780549,1420012860860780549,2021-07-27 18:57:03 India Standard Time,2021-07-27,18:57:03,530,1143409181422018560,genmhteam,Generation Mental Health,,"Has working from home changed your life for the better? For many of us living with #mentalhealth disorders and/or other #disabilities, office life can be very challenging. The COVID-19 pandemic may be the catalyst for a new era of flexible working 👉  https://t.co/iu70nn2eWC #WFH  https://t.co/ZSIdEM4jQw",en,[],['https://buff.ly/3eT4dTy'],['https://pbs.twimg.com/media/E7TmK5VXMAQYSJA.jpg'],0,0,0,"['mentalhealth', 'disabilities', 'wfh']",[],https://twitter.com/GenMHTeam/status/1420012860860780549,False,,1,https://pbs.twimg.com/media/E7TmK5VXMAQYSJA.jpg,,,,,,,[],,,,,Positive
801,1420012720347394051,1420012720347394051,2021-07-27 18:56:29 India Standard Time,2021-07-27,18:56:29,530,2273879359,pro_ergonomics,PROergonomics,,"#PROtip Our eyes need a rest too! Here's your #TipTuesday reminder: Every 20 minutes, look away from your screen &amp; focus on an object approx 20 feet away. Hold that for 20 seconds. Then continue back to work.  #ergonomics #officeergonomics #worksmarter #injuryprevention #wfh  https://t.co/mSNWdJUh9Y",en,[],[],['https://pbs.twimg.com/media/E7Tl1XyWYAEum4P.jpg'],0,2,2,"['protip', 'tiptuesday', 'ergonomics', 'officeergonomics', 'worksmarter', 'injuryprevention', 'wfh']",[],https://twitter.com/PRO_ergonomics/status/1420012720347394051,False,,1,https://pbs.twimg.com/media/E7Tl1XyWYAEum4P.jpg,,,,,,,[],,,,,Neutral
802,1420011820828528644,1420011820828528644,2021-07-27 18:52:55 India Standard Time,2021-07-27,18:52:55,530,16413676,thezakdaddy,Brian Cea,,"It’s apparent #WFH and #WFA business models have taken root. How deeply, is what we’ll learn in 2021.  Read the #TechJournal article, ""Work From Anywhere: Concept or Reality?"" ➡️  https://t.co/CdFHhXVdIW  https://t.co/pwKxb0hU2E",en,[],['http://ms.spr.ly/6003VKU3d'],['https://pbs.twimg.com/media/E7TlOcCXEAEhMkK.jpg'],0,0,0,"['wfh', 'wfa', 'techjournal']",[],https://twitter.com/THEZAKDADDY/status/1420011820828528644,False,,1,https://pbs.twimg.com/media/E7TlOcCXEAEhMkK.jpg,,,,,,,[],,,,,Positive
803,1420011636128108553,1420011636128108553,2021-07-27 18:52:11 India Standard Time,2021-07-27,18:52:11,530,31735225,jota_uy,Juan J. Moreno,,"WFH 3 days a week, all of us! A 100% remote team! Everyone to the office, now!  Check out my latest article: One size does not fit all. Neither when remote working   #remotework #wfh #leadership #culture #motivation #employeeengagement    https://t.co/Q3BJHW5MtO  https://t.co/j4l3EWs6UM",en,[],['https://www.linkedin.com/pulse/one-size-does-fit-all-neither-when-remote-working-juan-j-moreno'],['https://pbs.twimg.com/media/E7Tk2crXMAQDOtw.jpg'],1,1,4,"['remotework', 'wfh', 'leadership', 'culture', 'motivation', 'employeeengagement']",[],https://twitter.com/JOTA_uy/status/1420011636128108553,False,,1,https://pbs.twimg.com/media/E7Tk2crXMAQDOtw.jpg,,,,,,,[],,,,,Positive
804,1420011083516071943,1420011083516071943,2021-07-27 18:49:59 India Standard Time,2021-07-27,18:49:59,530,864477229157404672,jen_morr,Jennifer Morrow,,"If you are feeling #anxious about returning to the office, you are not alone. @DrAliceBoyes's tips for navigating your transition back are well worth the read.    #employeewellbeing #anxiety #wfh     https://t.co/1l6lIhBDrP  https://t.co/oZ1ioosYR8",en,"[{'screen_name': 'draliceboyes', 'name': 'dr alice boyes', 'id': '16397511'}]",['https://hbr.org/2021/07/why-youre-so-anxious-about-going-back-to-the-office'],['https://pbs.twimg.com/media/E7TjpMEX0AYTIFY.jpg'],0,0,1,"['anxious', 'employeewellbeing', 'anxiety', 'wfh']",[],https://twitter.com/jen_morr/status/1420011083516071943,False,,1,https://pbs.twimg.com/media/E7TjpMEX0AYTIFY.jpg,,,,,,,[],,,,,Positive
805,1420011051287031819,1420011051287031819,2021-07-27 18:49:51 India Standard Time,2021-07-27,18:49:51,530,103035883,frontierfm,FRONTIER FM,,Red is the colour &amp; this Terence Conran Maclamp desk light fits the brief  Click on the link below for more details  https://t.co/bfnOpGHUWI  #lamp #light #terenceconran #desklight #designer #wfh #red #vintage #tokyo2020  https://t.co/YBCl7I2Aum,en,[],['https://etsy.me/365UEfi'],['https://pbs.twimg.com/media/E7TkhrpXMAINPJu.jpg'],0,0,0,"['lamp', 'light', 'terenceconran', 'desklight', 'designer', 'wfh', 'red', 'vintage', 'tokyo2020']",[],https://twitter.com/FRONTIERFM/status/1420011051287031819,False,,1,https://pbs.twimg.com/media/E7TkhrpXMAINPJu.jpg,,,,,,,[],,,,,Positive
806,1420011051219836933,1420011051219836933,2021-07-27 18:49:51 India Standard Time,2021-07-27,18:49:51,530,1005532838614261762,rediscova1,Rediscova,,Red is the colour &amp; this Terence Conran Maclamp desk light fits the brief  Click on the link below for more details  https://t.co/5bnEAsJ0ha  #lamp #light #terenceconran #desklight #designer #wfh #red #vintage #tokyo2020  https://t.co/dKYVvacc0v,en,[],['https://etsy.me/365UEfi'],['https://pbs.twimg.com/media/E7TkhrYX0AgcaeA.jpg'],0,0,0,"['lamp', 'light', 'terenceconran', 'desklight', 'designer', 'wfh', 'red', 'vintage', 'tokyo2020']",[],https://twitter.com/Rediscova1/status/1420011051219836933,False,,1,https://pbs.twimg.com/media/E7TkhrYX0AgcaeA.jpg,,,,,,,[],,,,,Positive
807,1420011048426483717,1420011048426483717,2021-07-27 18:49:51 India Standard Time,2021-07-27,18:49:51,530,741344448,nandnnor,Nand & Nor,,Rt @wef  65% of remote workers do not want to return to the office - here's why  https://t.co/XvbwYyV6qs #RemoteWorking #WFH  https://t.co/V8A29LlJEN,en,"[{'screen_name': 'wef', 'name': 'world economic forum', 'id': '5120691'}]",['http://wef.ch/2S4RpRf'],['https://pbs.twimg.com/media/E7TkdqbXEAkgKDP.jpg'],0,1,0,"['remoteworking', 'wfh']",[],https://twitter.com/NandnNor/status/1420011048426483717,False,,1,https://pbs.twimg.com/media/E7TkdqbXEAkgKDP.jpg,,,,,,,[],,,,,Negative
808,1420010835099799553,1420010835099799553,2021-07-27 18:49:00 India Standard Time,2021-07-27,18:49:00,530,1954919288,tweetgrady,Dan Grady,,Watching yourself is exhausting.  this article covers 4 types of #zoom fatigue  https://t.co/tCip2XIv89 @WorkFromHome #WFH,en,"[{'screen_name': 'workfromhome', 'name': 'nature', 'id': '12159222'}]",['https://www.fastcompany.com/90608399/4-types-of-zoom-fatigue-and-how-to-combat-them'],[],0,0,0,"['zoom', 'wfh']",[],https://twitter.com/tweetgrady/status/1420010835099799553,False,,0,,,,,,,,[],,,,,Negative
809,1420010799305797634,1420010799305797634,2021-07-27 18:48:51 India Standard Time,2021-07-27,18:48:51,530,1364642429895405573,thinkremote,Think Remote,,"According to research by @AetnaIntl, expats are okay with the continuation of #remotework.  #workingfromhome #WFH #news   https://t.co/ZFO9rfphDE",en,"[{'screen_name': 'aetnaintl', 'name': 'aetnaintl', 'id': '102078779'}]",['https://thinkremote.com/expats-surveyed-about-remote-work/'],[],1,1,0,"['remotework', 'workingfromhome', 'wfh', 'news']",[],https://twitter.com/ThinkRemote/status/1420010799305797634,False,,0,,,,,,,,[],,,,,Positive
810,1420010791135232008,1419930960204865536,2021-07-27 18:48:49 India Standard Time,2021-07-27,18:48:49,530,1324599606,srajah100,Shampooツ,,@Afrihost #WFH Ergonomic Office Chair 😍 @Puppylove_1807  https://t.co/4izdxjE6yY,en,"[{'screen_name': 'puppylove_1807', 'name': 'kirthanya', 'id': '1325313366076907520'}]",[],['https://pbs.twimg.com/media/E7TkSJ4XsAM995r.jpg'],0,0,0,['wfh'],[],https://twitter.com/Srajah100/status/1420010791135232008,False,,1,https://pbs.twimg.com/media/E7TkSJ4XsAM995r.jpg,,,,,,,"[{'screen_name': 'Afrihost', 'name': 'Afrihost', 'id': '55520972'}]",,,,,Neutral
811,1420010741801885706,1420010737662107655,2021-07-27 18:48:38 India Standard Time,2021-07-27,18:48:38,530,1129056557000531968,costarnews,CoStar News,,"🏬 While @Belk is shifting to allow its employees to #WFH full or part-time, the change comes with a twist.   Belk is exploring options for converting unused #retail space at its department stores around the #Charlotte area into coworking #offices.  https://t.co/kMoScJvmVs",en,"[{'screen_name': 'belk', 'name': 'belk', 'id': '204856343'}]",['https://bit.ly/2Vfbo1r'],[],1,0,0,"['wfh', 'retail', 'charlotte', 'offices']",[],https://twitter.com/CoStarNews/status/1420010741801885706,False,,0,,,,,,,,[],,,,,Positive
812,1420010684419649547,1419017036420685831,2021-07-27 18:48:24 India Standard Time,2021-07-27,18:48:24,530,1245451349216690176,minerva_service,Minerva_service 💙,,"@gracebattisti @Wordsley2 @AlanJon53947014 @Jenniferfebrua1 @GarethEdwards77 @Chizzley2 @HeWhoCaresNot @Gmackematix @Liddlevoice @Noakseym @ont_stoop @rahhead01 @albolt76 @Zeddeee @ShandyDHarrison @MrFlibble72LFC Yeah, well...we don't know why but we get up early 🤣 #middleage #wfh  https://t.co/2jh5htIguq",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/E7TkL-lWUAQ7eoN.jpg'],1,1,9,"['middleage', 'wfh']",[],https://twitter.com/minerva_service/status/1420010684419649547,False,,1,https://pbs.twimg.com/tweet_video_thumb/E7TkL-lWUAQ7eoN.jpg,,,,,,,"[{'screen_name': 'gracebattisti', 'name': 'Wacey', 'id': '1059375436352905222'}, {'screen_name': 'Wordsley2', 'name': 'Wordsley 💙', 'id': '1366698929627217923'}, {'screen_name': 'AlanJon53947014', 'name': 'Stig Jones', 'id': '1062640862260350977'}, {'screen_name': 'Jenniferfebrua1', 'name': 'JenniferFeb', 'id': '1232728311115272195'}, {'screen_name': 'GarethEdwards77', 'name': 'Gareth Edwards', 'id': '82670893'}, {'screen_name': 'Chizzley2', 'name': 'Earl of Chizzey 🃏💙', 'id': '1381951266960576512'}, {'screen_name': 'HeWhoCaresNot', 'name': 'Alan Pearson', 'id': '467481997'}, {'screen_name': 'Gmackematix', 'name': 'Gerard Mackay', 'id': '24470543'}, {'screen_name': 'Liddlevoice', 'name': 'Paul Cheesmond', 'id': '21494855'}, {'screen_name': 'Noakseym', 'name': 'Noaksey⭐⭐', 'id': '124390483'}, {'screen_name': 'ont_stoop', 'name': 'TheDarkenedDoorstep💙', 'id': '723090161014198273'}, {'screen_name': 'rahhead01', 'name': 'Fi 🇪🇺', 'id': '1002601147901857793'}, {'screen_name': 'albolt76', 'name': 'Jacko', 'id': '1160130818678972416'}, {'screen_name': 'Zeddeee', 'name': 'Zee', 'id': '20338583'}, {'screen_name': 'ShandyDHarrison', 'name': 'SHarrison', 'id': '383913054'}, {'screen_name': 'MrFlibble72LFC', 'name': 'Mike_M', 'id': '997178725539164163'}]",,,,,Positive
813,1420010647694217224,1420010647694217224,2021-07-27 18:48:15 India Standard Time,2021-07-27,18:48:15,530,793773013,seedsprint,SeedSprint,,"Journalist and author Jennifer Moss argues that addressing workplace burnout “requires fundamental, institutional change that prioritizes stress prevention over management."" Listen to the full podcast here:  https://t.co/rq7l9xJvm8 #preventburnout #wfh #covid19 #businesstips",en,[],['https://n.pr/3rAyc7Z'],[],0,0,0,"['preventburnout', 'wfh', 'covid19', 'businesstips']",[],https://twitter.com/seedsprint/status/1420010647694217224,False,,0,,,,,,,,[],,,,,Positive
814,1420010504412667904,1420010504412667904,2021-07-27 18:47:41 India Standard Time,2021-07-27,18:47:41,530,1309065655434567683,wfhireland,Working From Home Ireland Podcast,,"Part 2 of my cancer journey, and my 1st week in hospital. #wfh #health #hospital #wellbeing #iwork4delltechnologies #myeloma  https://t.co/wihh1gZeiI",en,[],['https://lnkd.in/eQYkupA'],[],0,0,0,"['wfh', 'health', 'hospital', 'wellbeing', 'iwork4delltechnologies', 'myeloma']",[],https://twitter.com/WFHIreland/status/1420010504412667904,False,,0,,,,,,,,[],,,,,Neutral
815,1420009888315543552,1420009888315543552,2021-07-27 18:45:14 India Standard Time,2021-07-27,18:45:14,530,1104678739,johnabova,John A. Bova,,knowledge workers — high-skilled workers whose jobs are done on computers — will likely see the biggest changes from #wfh and the technology we use to the ways in which our productivity is measured. #digitaltransformation #privateequity  https://t.co/5VZYDf6dAK,en,[],['http://ow.ly/n3nF50EiYGF'],[],0,1,0,"['wfh', 'digitaltransformation', 'privateequity']",[],https://twitter.com/JohnABova/status/1420009888315543552,False,,0,,,,,,,,[],,,,,Positive
817,1420008738111463430,1410283237776277508,2021-07-27 18:40:40 India Standard Time,2021-07-27,18:40:40,530,1667100433,keroropanda,nomnom | AYO VAKSINNN,,"#WFH INTERNSHIP AT PT UNITED TRACTORS PANDU ENGINEERING (PATRIA)  If you are interested, dont hesitate to contact us or simply send your CV &amp; portofolio to our Email patriainternship@gmail.com with ""Internship_HC_(source)"" as email subject.  More Info: IG  https://t.co/Zz7erNUUqn  https://t.co/JPBMI3v75y",en,[],['http://patria.career'],['https://pbs.twimg.com/media/E7TiZ1YVEAAF_C7.jpg'],1,0,1,['wfh'],[],https://twitter.com/keroropanda/status/1420008738111463430,False,,1,https://pbs.twimg.com/media/E7TiZ1YVEAAF_C7.jpg,,,,,,,[],,,,,Positive
818,1420008360091475984,1420008360091475984,2021-07-27 18:39:10 India Standard Time,2021-07-27,18:39:10,530,844927556205740032,24x7page,24x7,,We have been experiencing some problems with subscriber log-ins and apologise for the inconvenience caused.  https://t.co/xKcUlMUJlK via @stcom #Quarantine #WFH,en,[],['https://www.straitstimes.com/singapore/politics/tharman-to-co-chair-g20-high-level-panel-on-financing-for-pandemic-preparedness'],[],0,0,0,"['quarantine', 'wfh']",[],https://twitter.com/24x7Page/status/1420008360091475984,False,,0,,,,,,,,[],,,,,Neutral
819,1420008118604419080,1420008118604419080,2021-07-27 18:38:12 India Standard Time,2021-07-27,18:38:12,530,910050092744302592,aithority,AiThority.com,,@Frost_Sullivan Analyzes Top 3 Cybersecurity Trends Transforming Australian And New Zealand Enterprises  https://t.co/kQhO6E2iF8 #FrostandSullivan #WFH #cybersecurity #cloudenvironments,en,[],['http://ow.ly/A3TP30rP6G2'],[],0,0,0,"['frostandsullivan', 'wfh', 'cybersecurity', 'cloudenvironments']",[],https://twitter.com/AiThority/status/1420008118604419080,False,,0,,,,,,,,[],,,,,Positive
820,1420008066955628545,1420008066955628545,2021-07-27 18:38:00 India Standard Time,2021-07-27,18:38:00,530,3937914677,technative,TechNative,,"Anirudh Shrotriya, managing director at @shrosystems talks about the launch of their corporate e-store, which enables customers to meet their organisation's IT and #WFH requirements from anywhere. Find out more about Shro Systems:  https://t.co/F4DZEYdRGC… via @Cloud28plus  https://t.co/v5zqqs6NNK",en,"[{'screen_name': 'shrosystems', 'name': 'shro systems pvt ltd', 'id': '2191684298'}, {'screen_name': 'cloud28plus', 'name': 'cloud28+', 'id': '2860877471'}]",['https://cloud28plus.com/en/partner/SHRO-SYSTEMS-PVT-LTD'],[],0,3,1,['wfh'],[],https://twitter.com/TechNative/status/1420008066955628545,False,,1,https://pbs.twimg.com/amplify_video_thumb/1405477371319402498/img/5a2UjU0tTh8YUWhB.jpg,,,,,,,[],,,,,Positive
821,1420007879411699750,1420007879411699750,2021-07-27 18:37:15 India Standard Time,2021-07-27,18:37:15,530,123176093,kashgeraci,Kayla 🌊,,"The sweet indignity of taking a photo of yourself solo in the team meeting to shame everyone for being late only to realize there is no meeting today and you’re a dumbass. Yes, hair brushing is optional. #wfh #thinkitstimetogoback #amihashtaggingrightnowlikeits2013  https://t.co/IjVpuEgxKT",en,[],[],['https://pbs.twimg.com/media/E7Tho-pWQAQAba2.jpg'],1,0,4,"['wfh', 'thinkitstimetogoback', 'amihashtaggingrightnowlikeits2013']",[],https://twitter.com/kashgeraci/status/1420007879411699750,False,,1,https://pbs.twimg.com/media/E7Tho-pWQAQAba2.jpg,,,,,,,[],,,,,Positive
